linguistics_term	type	m_pred
anaphor_agreement	sentence	0.08299999999999999
argument_structure	sentence	0.26455555555555554
binding	sentence	0.26271428571428573
control_raising	sentence	0.329
determiner_noun_agreement	sentence	0.14125000000000001
ellipsis	sentence	0.324
filler_gap_dependency	sentence	0.275125
irregular_forms	sentence	0.10949999999999999
island_effects	sentence	0.5707777777777778
npi_licensing	sentence	0.48342857142857143
quantifiers	sentence	0.35525
subject_verb_agreement	sentence	0.18116666666666667
